item_name_di,dot_structure_di,item_type_rp_di,item_type_hm_di,cat_1_di,cat_1_name_di,comment_di,cat_2_di,no_show_di
.netrc,rp>hm,file,file_sym,sys,System,Unix file stores login & init info for connecting to remote systems,unix,FALSE
.thumbnails,rp>hm,folder,folder_sym,sys,System,Thumbnail cache,unix,FALSE
.ssh,rp>hm,folder,folder_sym,sys,System,Unix SSH configuration files,unix,FALSE
.fontconfig,rp>hm,folder,folder_sym,sys,System,Unix font configuration,unix,FALSE
.lesshst,hm_only,file,file_sym,sys,System,command history file for the Unix less text viewer command,unix,FALSE
.cups,rp>hm,folder,folder_sym,sys,System,Common Unix Printing System,unix,FALSE
.Xencelabs,rp>hm,folder,folder_sym,apps,Applications,Xencelabs dedicated controller config,regular,FALSE
.adobe,rp>hm,folder,folder_sym,apps,Applications,,regular,FALSE
.dropbox,rp>hm,folder,folder_sym,apps,Applications,,cloud,FALSE
.pcloud,rp>hm,folder,folder_sym,apps,Applications,,cloud,FALSE
.omniboard,rp>hm,folder,folder_sym,oth,Other,Omniboard project management tool,projects,FALSE
